iter	Logloss
0	0.6413796171
1	0.6067809526
2	0.5825596717
3	0.5537835679
4	0.5296120961
5	0.517260787
6	0.5025436993
7	0.4913890758
8	0.4857369567
9	0.4766185354
10	0.4736617345
11	0.4668005082
12	0.4612692762
13	0.4554281009
14	0.448368755
15	0.4449760158
16	0.43930176
17	0.4354819401
18	0.4312278741
19	0.4279294845
20	0.4251975062
21	0.4226739419
22	0.4192795317
23	0.4187879724
24	0.4141487672
25	0.4115438367
26	0.408954426
27	0.4035033478
28	0.4005340813
29	0.3981940973
30	0.3967235679
31	0.3914830063
32	0.3892278863
33	0.3875940998
34	0.3852061055
35	0.3819041565
36	0.3788339713
37	0.375962133
38	0.3750083121
39	0.3721718931
40	0.3706198342
41	0.3694826269
42	0.3681125793
43	0.3669051056
44	0.366698695
45	0.3656698811
46	0.3642364996
47	0.3631804641
48	0.3626149144
49	0.3602518441
50	0.358816379
51	0.357413946
52	0.3564938034
53	0.3537614321
54	0.3523870946
55	0.3507806139
56	0.3500293594
57	0.3483703952
58	0.3473819982
59	0.3469666069
60	0.345538031
61	0.3439191382
62	0.3400484
63	0.3395686296
64	0.3362668765
65	0.3349637673
66	0.3336667467
67	0.3321930889
68	0.3308958192
69	0.3290841747
70	0.327273269
71	0.3249787997
72	0.3228848743
73	0.3212911447
74	0.3202735736
75	0.3185231869
76	0.3172434049
77	0.3162089615
78	0.3153663343
79	0.3134034221
80	0.3124981626
81	0.3106022266
82	0.3075385073
83	0.304271591
84	0.3005883329
85	0.2995522307
86	0.2977754448
87	0.2966272762
88	0.2951608062
89	0.2944069382
90	0.2934148694
91	0.2898151873
92	0.2890771972
93	0.2884008878
94	0.2874128308
95	0.2858468921
96	0.2850699082
97	0.2845891742
98	0.2824016448
99	0.2794880905
100	0.2778666169
101	0.2772341308
102	0.2762783346
103	0.273973659
104	0.2719260868
105	0.271290743
106	0.2707074764
107	0.269711359
108	0.2694234549
109	0.2674775816
110	0.267029451
111	0.2649164208
112	0.2636661579
113	0.2628104518
114	0.2611459567
115	0.2603872304
116	0.2591901763
117	0.258821562
118	0.2573841408
119	0.2571215297
120	0.2559501507
121	0.255025121
122	0.2547463316
123	0.2543101844
124	0.2537402601
125	0.2531829712
126	0.2517430759
127	0.2510947206
128	0.2502930685
129	0.2487235026
130	0.2484589864
131	0.2465690041
132	0.2451475643
133	0.2440431869
134	0.2427598229
135	0.2415672177
136	0.2407011466
137	0.238317962
138	0.2379753102
139	0.2373920752
140	0.2364252209
141	0.2363990358
142	0.2353740932
143	0.2349995483
144	0.2343285823
145	0.2333842199
146	0.2327824309
147	0.2315501974
148	0.2310507419
149	0.2304597779
150	0.2304347296
151	0.2295482156
152	0.2295282509
153	0.2286415106
154	0.2272885815
155	0.2254815762
156	0.2242706487
157	0.2242256847
158	0.2232592949
159	0.2222298247
160	0.2201707755
161	0.2190629319
162	0.2188792097
163	0.2173095549
164	0.2166500362
165	0.2148565364
166	0.2146164842
167	0.2136120394
168	0.2127826484
169	0.2124609409
170	0.2111384663
171	0.2094595892
172	0.2082032614
173	0.206702145
174	0.2063817714
175	0.204843036
176	0.2035071036
177	0.2028423698
178	0.2019806331
179	0.2013025749
180	0.2003861649
181	0.1998266776
182	0.1992170917
183	0.1979860787
184	0.1979657744
185	0.19756812
186	0.196761482
187	0.1962257453
188	0.1949638621
189	0.1945594484
190	0.193893692
191	0.1931609194
192	0.1915553329
193	0.1909180435
194	0.1899003859
195	0.1895122516
196	0.1878061529
197	0.187571844
198	0.1869090211
199	0.1856833303
200	0.1845280544
201	0.1843070913
202	0.1838809449
203	0.1837791408
204	0.1833146793
205	0.1829908052
206	0.1825809589
207	0.1820093989
208	0.1807250154
209	0.1803222615
210	0.1799987932
211	0.1792321106
212	0.1787692779
213	0.1783274972
214	0.1783099113
215	0.1779409207
216	0.1775546955
217	0.1772175596
218	0.1769300857
219	0.1767480621
220	0.1765664281
221	0.176211142
222	0.1759672262
223	0.1757714594
224	0.1757386265
225	0.1748848743
226	0.1740941692
227	0.1738673445
228	0.1733785904
229	0.1728244297
230	0.1721198144
231	0.1709044031
232	0.1699302092
233	0.1697922196
234	0.1693685383
235	0.1691116491
236	0.16894885
237	0.168711776
238	0.1681103416
239	0.1676352658
240	0.1669726999
241	0.1661416809
242	0.1656504803
243	0.1650259402
244	0.1648998695
245	0.1642848424
246	0.1641655286
247	0.1631784449
248	0.1621850738
249	0.1619016157
250	0.1615451238
251	0.1607104071
252	0.1600072604
253	0.1593732154
254	0.1590273476
255	0.1587166065
256	0.1575055803
257	0.1573748226
258	0.1567056506
259	0.1565424787
260	0.1562981589
261	0.1561434483
262	0.1560281065
263	0.1551783762
264	0.1540553982
265	0.153163602
266	0.1529883976
267	0.1527222221
268	0.1517733806
269	0.1510045002
270	0.15040142
271	0.1501933159
272	0.15007361
273	0.1498853019
274	0.1489129655
275	0.1483355936
276	0.1479513083
277	0.1475539039
278	0.1468956244
279	0.1467694516
280	0.1466928186
281	0.1462597885
282	0.1460565971
283	0.1455586448
284	0.1453457243
285	0.1451637499
286	0.1450571317
287	0.1444945172
288	0.1438974462
289	0.1436854361
290	0.1434708202
291	0.143089607
292	0.1423648893
293	0.1421360195
294	0.1420383171
295	0.1418464504
296	0.1413121926
297	0.1402779996
298	0.1400365227
299	0.1390691601
300	0.138446834
301	0.138217854
302	0.1380557783
303	0.1374838135
304	0.1368035455
305	0.1360742524
306	0.1350981146
307	0.1343616272
308	0.1339307806
309	0.1334700079
310	0.13293943
311	0.1324119405
312	0.1320359687
313	0.1316035152
314	0.1314499165
315	0.131202714
316	0.1309142805
317	0.1300872962
318	0.1299785286
319	0.1294092798
320	0.1292226834
321	0.1289453343
322	0.1286574603
323	0.1281761004
324	0.127629209
325	0.1270240769
326	0.1269693745
327	0.126628103
328	0.1264295588
329	0.1263374774
330	0.1257846656
331	0.1252450671
332	0.1245993758
333	0.1240439263
334	0.1233717362
335	0.1229165902
336	0.1224035511
337	0.1220188054
338	0.1215760687
339	0.1214810648
340	0.1208287809
341	0.1206897772
342	0.1199057004
343	0.1198140695
344	0.1195676975
345	0.1188883963
346	0.118848145
347	0.1186380647
348	0.1182796185
349	0.1177178202
350	0.1173676242
351	0.1170518784
352	0.1170128432
353	0.1169403495
354	0.116569114
355	0.1163213997
356	0.1157594585
357	0.1155848721
358	0.1149148563
359	0.1147619892
360	0.1143970508
361	0.1142690519
362	0.1140818345
363	0.1137370866
364	0.1136120282
365	0.1132738927
366	0.1131337156
367	0.1129985592
368	0.1129243086
369	0.1126156137
370	0.1119985109
371	0.1115109974
372	0.1112499946
373	0.1107617921
374	0.1106362727
375	0.1102067963
376	0.1094014788
377	0.1090558527
378	0.1085452425
379	0.1083160206
380	0.1078705767
381	0.107556595
382	0.1073515385
383	0.1070869882
384	0.1062178278
385	0.1057056325
386	0.1053070612
387	0.1051986656
388	0.1049919438
389	0.1047035789
390	0.1044033445
391	0.1043523793
392	0.1042180078
393	0.1039614669
394	0.1037783695
395	0.1034877722
396	0.103338097
397	0.1031089489
398	0.1029073281
399	0.1024448113
400	0.102001429
401	0.1016455347
402	0.1010217517
403	0.1008216772
404	0.1005088364
405	0.1000688298
406	0.1000172021
407	0.09991596914
408	0.0992945385
409	0.09921272428
410	0.09881421515
411	0.09867706326
412	0.09822392356
413	0.09788798733
414	0.09766311084
415	0.09722309834
416	0.09692869781
417	0.09681206394
418	0.09664399842
419	0.09654613366
420	0.09650041927
421	0.09612471139
422	0.09605692161
423	0.09560297084
424	0.09510257171
425	0.09455445316
426	0.09437388422
427	0.09413540876
428	0.09358159362
429	0.09339289056
430	0.09330111997
431	0.09320569564
432	0.09280220131
433	0.09254619458
434	0.09238605717
435	0.09206175412
436	0.09192645201
437	0.0917098288
438	0.09138089887
439	0.09128638843
440	0.09110804499
441	0.09070209584
442	0.09047507774
443	0.0902003111
444	0.0901619966
445	0.09003326078
446	0.0896792899
447	0.0895130195
448	0.08909393477
449	0.08892108102
450	0.08886052651
451	0.08876508532
452	0.08842077204
453	0.08836204307
454	0.08819955292
455	0.08811586683
456	0.0880853944
457	0.08770395391
458	0.08764482766
459	0.08741144756
460	0.08727547817
461	0.0869682495
462	0.08668103421
463	0.08646433808
464	0.0864208435
465	0.0863688304
466	0.08629789125
467	0.0860747632
468	0.08585939774
469	0.08566728477
470	0.08553346359
471	0.08524459166
472	0.08492406352
473	0.08461543377
474	0.08451479873
475	0.08438492247
476	0.08401655222
477	0.08368079169
478	0.08357602593
479	0.08338320369
480	0.08333887499
481	0.08331218164
482	0.0832765864
483	0.08307497558
484	0.08257005978
485	0.08243778175
486	0.08234574812
487	0.08225274891
488	0.08222035966
489	0.08194414377
490	0.08184679157
491	0.08178160498
492	0.08162694872
493	0.08137487833
494	0.08120972726
495	0.0810821176
496	0.08087634776
497	0.08077364462
498	0.08073824711
499	0.08059843314
500	0.08056859043
501	0.08037810569
502	0.08009946843
503	0.07980569025
504	0.07972409886
505	0.07960185078
506	0.07957354654
507	0.07954200951
508	0.0794995168
509	0.07932090303
510	0.07902513462
511	0.07894211924
512	0.0788155456
513	0.07861323879
514	0.078308517
515	0.07816656435
516	0.07810301794
517	0.07787940448
518	0.07770067312
519	0.07758848448
520	0.07728406636
521	0.07716892892
522	0.0771424848
523	0.07704704474
524	0.07679825232
525	0.07672760872
526	0.07661269919
527	0.07643076582
528	0.07616292608
529	0.07597024109
530	0.07575491795
531	0.07566177169
532	0.07559559525
533	0.07556344203
534	0.07541394281
535	0.07526238684
536	0.07497469084
537	0.07491050044
538	0.07486271671
539	0.07467474774
540	0.07426703799
541	0.07402327897
542	0.07385811241
543	0.07368734927
544	0.07347298105
545	0.07327444299
546	0.07315329324
547	0.07310310729
548	0.07305427218
549	0.07299609536
550	0.07288516069
551	0.07283711732
552	0.07270425972
553	0.07241643738
554	0.07211715405
555	0.07191095834
556	0.07188595155
557	0.07175123334
558	0.07167373097
559	0.07139645795
560	0.0711351315
561	0.07095791146
562	0.07079607467
563	0.07074244436
564	0.07071848803
565	0.0705882235
566	0.07045038774
567	0.07038281022
568	0.07023182052
569	0.07000679737
570	0.06989765938
571	0.06973210604
572	0.06968956502
573	0.06960028437
574	0.06940122705
575	0.06926319234
576	0.06905212517
577	0.06904304106
578	0.06892267535
579	0.06879698968
580	0.06872488172
581	0.06864161234
582	0.06846380758
583	0.06831287698
584	0.06809988706
585	0.06794487824
586	0.06785666564
587	0.06763157664
588	0.06751346783
589	0.06738492141
590	0.06731178229
591	0.06729058474
592	0.06719734138
593	0.06713061187
594	0.06707480261
595	0.0668651602
596	0.06680587484
597	0.06671727894
598	0.06650645163
599	0.06643179057
600	0.06611611304
601	0.06582492581
602	0.06578521961
603	0.06572771736
604	0.06557616296
605	0.06537356944
606	0.06531019343
607	0.06521206477
608	0.06513566544
609	0.06506919258
610	0.06474359528
611	0.06458866948
612	0.06457365643
613	0.06447922782
614	0.06443640061
615	0.06435152177
616	0.06416107049
617	0.06411834534
618	0.06393689814
619	0.06392491
620	0.06365340526
621	0.06352676448
622	0.06329838819
623	0.06322830644
624	0.0629756508
625	0.06277900356
626	0.06254540418
627	0.06247505055
628	0.062272241
629	0.06224489042
630	0.06201822008
631	0.06181411281
632	0.06162719642
633	0.06157646387
634	0.06146566033
635	0.06133277239
636	0.06128285375
637	0.06120270279
638	0.06094266835
639	0.06077831429
640	0.0607302061
641	0.0607128949
642	0.06064679788
643	0.06032593039
644	0.06015785021
645	0.06010876603
646	0.05995052933
647	0.05993185138
648	0.05988726122
649	0.0598448751
650	0.05972259819
651	0.05964056235
652	0.05932666909
653	0.05920498686
654	0.05914879229
655	0.0591122806
656	0.05906870591
657	0.05895896389
658	0.05884236889
659	0.05853245925
660	0.05842432314
661	0.05837094857
662	0.05817025954
663	0.05812930787
664	0.05806878747
665	0.0579070016
666	0.05781648615
667	0.05769084306
668	0.05754043111
669	0.05752687764
670	0.05746952773
671	0.0574105746
672	0.05730478766
673	0.05722142274
674	0.05721018095
675	0.05710590126
676	0.05701235951
677	0.05700409627
678	0.05695681726
679	0.05686756853
680	0.05683732768
681	0.056786395
682	0.05673609216
683	0.05673130278
684	0.05668361276
685	0.05662436312
686	0.05650179372
687	0.05615235925
688	0.05602715163
689	0.05591505797
690	0.05578204839
691	0.05574260117
692	0.05562200554
693	0.05553111503
694	0.05543296292
695	0.05532758367
696	0.05510177009
697	0.05509065623
698	0.05502838018
699	0.05498505821
700	0.0549128269
701	0.05483524563
702	0.05477876423
703	0.05468111409
704	0.05465028273
705	0.05462428015
706	0.0545851471
707	0.05448841468
708	0.05440344133
709	0.05424994506
710	0.05419794339
711	0.05401874634
712	0.05382139731
713	0.05380591013
714	0.05364457679
715	0.05358524658
716	0.05347289669
717	0.05340866422
718	0.05326398408
719	0.05323828422
720	0.0531489914
721	0.05312188376
722	0.05305435713
723	0.05304031404
724	0.05301549386
725	0.05293652868
726	0.05287289149
727	0.05278325499
728	0.05263317787
729	0.05253697733
730	0.0525016448
731	0.05241261965
732	0.05235347727
733	0.05232090111
734	0.05230843132
735	0.05230416212
736	0.05211651608
737	0.05211498946
738	0.05206970919
739	0.0520005407
740	0.05197778265
741	0.05183841088
742	0.05171981093
743	0.05163163784
744	0.05158660409
745	0.05152816641
746	0.05150094874
747	0.05139301884
748	0.05127274746
749	0.05110924778
750	0.05108100324
751	0.05098451434
752	0.05096996771
753	0.05095045735
754	0.05087839263
755	0.05085208192
756	0.05083133934
757	0.05081874338
758	0.05068392801
759	0.0506680999
760	0.05065579455
761	0.05064128882
762	0.05052885407
763	0.05040163751
764	0.05036292435
765	0.05030922592
766	0.05024441851
767	0.05022574284
768	0.05006642311
769	0.05001025122
770	0.04984675073
771	0.04976264063
772	0.04972828773
773	0.04971075073
774	0.04960918821
775	0.04955573384
776	0.04939473895
777	0.04931485663
778	0.04922608933
779	0.04917505142
780	0.04900093509
781	0.04892794737
782	0.04890151995
783	0.04883784611
784	0.04877841663
785	0.04875441417
786	0.04867486307
787	0.04866208737
788	0.04853784652
789	0.04846017065
790	0.04843690511
791	0.04837287936
792	0.04835452886
793	0.04828661154
794	0.04814000183
795	0.04811823659
796	0.04809799663
797	0.04801677063
798	0.04798584274
799	0.04795400598
800	0.04785642406
801	0.04774609903
802	0.04771443058
803	0.0476938271
804	0.04760819307
805	0.04752526936
806	0.04735990114
807	0.04731354171
808	0.04716388412
809	0.04713588842
810	0.04701308884
811	0.04695789963
812	0.04686989117
813	0.04673663704
814	0.04668204478
815	0.04657309061
816	0.04656349693
817	0.04649645083
818	0.04647052653
819	0.04645662849
820	0.04642984084
821	0.04633178541
822	0.0462238261
823	0.04615564856
824	0.04613935529
825	0.04607925248
826	0.04605615328
827	0.04602115156
828	0.04601168041
829	0.04598887544
830	0.04592511195
831	0.04589812829
832	0.04575853666
833	0.0456218726
834	0.04552417724
835	0.04543661834
836	0.04538310481
837	0.04535640866
838	0.04534141192
839	0.04519064748
840	0.0450921224
841	0.04494797364
842	0.04484507211
843	0.04481102358
844	0.04480015146
845	0.04473864527
846	0.04465830703
847	0.04458657238
848	0.04451576546
849	0.04449121119
850	0.04437166107
851	0.0443376252
852	0.04432270268
853	0.04426885974
854	0.04415667068
855	0.04407603094
856	0.04403865611
857	0.04398084216
858	0.0438864622
859	0.04384786894
860	0.04381012995
861	0.04373523741
862	0.04366488685
863	0.04366215151
864	0.04364850823
865	0.04364036394
866	0.04357496852
867	0.04341452687
868	0.04339512209
869	0.04336566434
870	0.04334394721
871	0.04331835744
872	0.04330876879
873	0.04325521657
874	0.04322396105
875	0.04321768826
876	0.04306182804
877	0.04305038443
878	0.04300756406
879	0.0428858067
880	0.0428116052
881	0.04276684818
882	0.0427222761
883	0.04261691769
884	0.04259424109
885	0.04255527878
886	0.04254118628
887	0.04248267198
888	0.04247118249
889	0.04241930409
890	0.04238140074
891	0.04236184127
892	0.04228056393
893	0.04222330278
894	0.04213939635
895	0.0420425151
896	0.04201560227
897	0.0419130022
898	0.04190140231
899	0.04180286635
900	0.04172359884
901	0.04169420649
902	0.04159236969
903	0.04148520657
904	0.04137945341
905	0.04132094704
906	0.0413077108
907	0.0411484505
908	0.04112848976
909	0.04110757033
910	0.04110060188
911	0.04108365644
912	0.04106780102
913	0.04103743277
914	0.04092652309
915	0.04091907921
916	0.04091028313
917	0.04089164898
918	0.04084943411
919	0.04076108733
920	0.04074713605
921	0.04065610187
922	0.04061062681
923	0.04042965987
924	0.04040703677
925	0.04032344779
926	0.04031146294
